Timestamp,D* -0.3 1,D* -0.3 2
1,-1,-1
2,-1,-0.930000007
3,-1,-0.930000007
4,-1,-0.889999986
5,-1,-0.889999986
6,-1,-0.910000026
7,-1,-0.930000007
8,-1,-0.920000017
9,-1,-0.920000017
10,-1,-0.949999988
11,-1,-0.959999979
12,-1,-0.899999976
13,-1,-0.920000017
14,-1,-0.879999995
15,-1,-0.819999993
16,-1,-0.889999986
17,-1,-0.870000005
18,-1,-0.889999986
19,-1,-0.879999995
20,-1,-0.860000014
21,-1,-0.059999999
22,-1,-0.07
23,-1,-0.050000001
24,-1,-0.029999999
25,-0.879999995,-0.02
26,-0.870000005,-0.059999999
27,-0.870000005,-0.059999999
28,-0.870000005,-0.07
29,-0.889999986,-0.050000001
30,-0.889999986,-0.079999998
31,-0.939999998,-0.050000001
32,-0.930000007,-0.079999998
33,-0.920000017,-0.02
34,-0.930000007,-0.039999999
35,-0.910000026,-0.07
36,-0.899999976,-0.059999999
37,-0.889999986,-0.029999999
38,-0.910000026,-0.100000001
39,-0.910000026,-0.07
40,-0.930000007,-0.039999999
41,-0.889999986,-0.059999999
42,-0.920000017,-0.02
43,-0.889999986,0.039999999
44,-0.01,0.02
45,0.01,0.02
46,-0.039999999,-0.01
47,0.050000001,-0.050000001
48,0,-0.029999999
49,0.050000001,-0.039999999
50,-0.02,-0.039999999
51,0.02,-0.050000001
52,-0.059999999,-0.039999999
53,-0.059999999,-0.050000001
54,-0.050000001,-0.050000001
55,0,-0.029999999
56,-0.01,-0.01
57,-0.02,-0.029999999
58,-0.01,0.02
59,0.01,-0.039999999
60,-0.01,-0.01
61,0.02,0.01
62,0.02,0.039999999
63,-0.02,0.039999999
64,-0.029999999,0.079999998
65,-0.029999999,0.039999999
66,-0.029999999,
67,-0.01,
68,0.029999999,
69,0.02,
70,0.029999999,
71,0.01,
72,0.050000001,
